id,code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2,BTN,llgdp,47.49057,43.48087,47.21671,44.20063,51.64455,51.7337,46.5129,47.46122,58.56763,69.72005,69.05103,63.51152,55.75486,60.96711,56.3002
2,BTN,macap,,,,,,,,,,,,,,,
3,EGY,bankaccntadult,,,,,,,,,,,,368.1934,381.8268,389.1053,373.73626
3,EGY,bankbradult,,,,,3.9055771,3.9285937,4.0521228,4.3684725,4.6306548,4.7712091,4.8082297,4.8312945,4.7893802,4.787506,4.7976605
3,EGY,bankcapass,5.6,,,5.3,5.1,5,4.9,4.8,5.6,5.5,6.2,6.2,7.2,7.1,6.5
3,EGY,bankconc,57.16481,59.62305,58.31804,58.7144,56.92002,57.4098,58.43791,53.23333,57.64514,57.35958,58.87553,59.02746,58.74313,58.94172,80.19646
3,EGY,creditdeposit,81.05438,79.23618,75.62691,68.93186,64.62163,62.31179,59.71811,56.61603,55.60999,53.77396,49.44458,48.77927,48.57545,45.2294,41.94608
3,EGY,nim,1.692724,1.265688,1.328558,1.238163,1.613633,1.724889,1.336523,1.882677,2.052358,2.379322,2.426169,2.552345,3.607825,3.789515,3.155507
3,EGY,nplgl,13.6,16.9,20.2,24.2,23.6,26.5,18.2,19.3,14.8,13.4,13.6,10.9,9.8,9.3,8.9
3,EGY,boc,1.65897,1.312506,1.244799,1.161813,1.466729,1.475794,1.37031,2.165103,1.490464,1.477145,1.523709,1.64068,1.792778,1.865785,1.394033
3,EGY,broaatax,0.8389392,0.5745196,0.4001966,0.4063938,0.4922876,0.5148248,0.5290976,0.7911816,0.7473478,0.7657899,0.9671626,0.7052111,1.037974,1.165186,1.124783
3,EGY,broabtax,0.9278072,0.6564634,0.453611,0.4444126,0.5551733,0.5546118,0.601108,0.8755371,0.8586218,1.099767,1.393977,1.292592,1.871082,2.096666,2.076833
3,EGY,broeatax,13.40966,9.743543,7.130132,7.102288,8.177238,8.807306,9.240357,13.60857,12.28159,11.52253,14.15959,10.41104,14.4374,15.02801,14.75056
3,EGY,broebtax,14.83013,11.13327,8.081792,7.766718,9.221813,9.46771,10.45852,15.05951,14.11022,16.54776,20.40829,19.08255,26.02526,27.04179,27.23589
3,EGY,zscore,13.63007,12.38557,11.65763,12.54365,12.94608,12.80283,12.42553,13.01046,13.96751,15.17918,15.17647,14.81734,16.92173,17.97713,16.51757
3,EGY,cbassgdp,25.50143,29.91101,33.06687,37.21363,44.96523,41.69781,32.14663,27.41385,21.96195,16.31753,14.75865,14.99657,17.33694,19.23222,23.41805
3,EGY,creditd,51.9533,54.9311,54.6554,53.8976,54.0429,51.1654,49.291,45.5152,42.7975,36.0927,33.0723,31.1549,27.6877,26.4585,25.949
3,EGY,fbassets,,,,,10,12,21,25,25,25,24,24,23,21,
3,EGY,fbanks,16,19,19,19,19,21,44,52,54,54,54,54,54,54,
3,EGY,gdp,1.00E+11,98000000000,88000000000,83000000000,79000000000,90000000000,1.10E+11,1.30E+11,1.60E+11,1.90E+11,2.20E+11,2.40E+11,2.80E+11,2.90E+11,3.00E+11
3,EGY,gdppc,1103.45,1121.69,1127.09,1141.53,1166.46,1196.73,1256.29,1322.27,1392.24,1430.91,1475.13,1470.62,1470.02,1467.53,1467.31
3,EGY,insuranceass,4.05127,4.06371,4.06062,4.08146,3.83563,3.73558,3.6073,3.34911,3.72805,3.1711,2.97031,2.92339,2.7892,2.52873,2.55758
3,EGY,lerner,,,,,,,,0.1140826,-0.1019667,0.2957452,0.233379,0.1985717,0.2667073,0.2906367,0.2823181
3,EGY,llgdp,72.84906,77.59136,82.95522,87.96046,91.65015,92.03516,90.75436,88.06769,88.38165,80.58717,76.62419,73.93546,72.04132,68.85753,72.01711
3,EGY,macap,30.84347,26.15129,26.64209,29.7226,38.8037,66.09806,82.01473,88.73318,76.23135,47.48334,40.48238,27.83027,19.39115,20.77979,21.27679
4,IND,bankaccntadult,,,,,621.0025,620.41748,631.11243,661.48761,726.0296,,,,,,
4,IND,bankbradult,,,,,9.0421997,9.0163711,8.9600704,9.0759379,9.391851,9.6911216,10.141114,10.62803,11.314892,12.002398,13.035294
4,IND,bankcapass,5.7,5.3,5.5,5.7,5.9,6.4,6.6,6.4,7.3,7,7.1,6.7,7,6.9,7.1
4,IND,bankconc,34.56294,34.7914,35.73361,35.0308,33.11151,33.98258,33.92292,32.93119,32.51981,32.06525,30.13038,29.4784,28.80429,29.21181,29.37479
4,IND,creditdeposit,62.35661,61.4059,61.09809,61.24808,64.11344,70.52055,75.03059,75.36472,74.92211,73.34061,73.94329,76.06438,77.27724,78.22995,77.48643
4,IND,nim,3.266557,3.36064,3.047019,3.342012,3.719435,3.525682,3.37657,3.33443,3.141147,2.730931,3.084793,3.349387,3.068147,3.010025,2.847557
4,IND,nplgl,12.8,11.4,10.4,8.8,7.2,5.2,3.5,2.7,2.4,2.2,2.4,2.7,3.4,4,4.3
4,IND,boc,2.588381,2.69283,2.302828,2.380855,2.502572,2.292273,2.276621,2.154184,2.046283,1.66973,1.886258,1.887156,1.666406,1.72902,1.720762
4,IND,broaatax,0.7617034,0.5299345,0.7246328,1.035324,1.315764,0.9791996,0.9797746,1.018889,1.13988,0.9886225,1.095323,1.075549,0.9793252,0.9881853,0.7512723
4,IND,broabtax,1.096468,0.8007599,1.0974,1.488803,1.865153,1.314812,1.296052,1.453961,1.645486,1.460704,1.592607,1.579824,1.378238,1.359603,1.070465
4,IND,broeatax,15.71649,10.95913,14.9258,20.66038,24.5438,17.09877,15.92678,16.48958,17.13745,14.11659,15.68275,15.4055,13.97811,13.88486,10.59747
4,IND,broebtax,22.2407,16.33647,22.59695,29.70469,34.79191,22.95923,21.06805,23.53073,24.73893,20.85747,22.80284,22.62843,19.67096,19.10309,15.09948
4,IND,zscore,7.013342,6.36113,6.607277,7.3878,8.117308,8.212715,8.725204,8.406906,9.807158,9.392727,9.691762,9.525523,9.599328,9.681169,9.267173
4,IND,cbassgdp,7.586985,6.581975,5.442111,3.130085,2.197756,2.197881,2.053167,2.016809,1.787642,1.992168,3.320521,4.676466,5.45024,5.893379,4.904647
4,IND,creditd,27.8511,28.1262,31.7497,31.0812,35.5681,39.4036,43.2206,44.8187,48.539,47.2967,49.5835,50.7336,51.6572,51.8707,51.5792
